# Model SED for star xi Boo A = HD 131156A = GJ 566 A                      
# Spectral template: G7V_HD111395_GaiaDR3_spec.dat   
# Adjusted Vmag(template)= 6.292 to Vmag(target)= 4.670
#lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  658 0.433849E-12 0.473359E-14
  660 0.440830E-12 0.444818E-14
  662 0.449115E-12 0.423827E-14
  664 0.452998E-12 0.430209E-14
  666 0.449454E-12 0.416650E-14
  668 0.441389E-12 0.381126E-14
  670 0.433495E-12 0.377239E-14
  672 0.428953E-12 0.390178E-14
  674 0.428849E-12 0.367493E-14
  676 0.432745E-12 0.335722E-14
  678 0.435294E-12 0.342683E-14
  680 0.434385E-12 0.349702E-14
  682 0.430101E-12 0.320585E-14
  684 0.423873E-12 0.300724E-14
  686 0.418766E-12 0.318488E-14
  688 0.416805E-12 0.317581E-14
  690 0.417224E-12 0.282454E-14
  692 0.417432E-12 0.271899E-14
  694 0.417218E-12 0.295125E-14
  696 0.414204E-12 0.289607E-14
  698 0.409608E-12 0.255187E-14
  700 0.404822E-12 0.251852E-14
  702 0.402687E-12 0.275249E-14
  704 0.401180E-12 0.266619E-14
  706 0.400361E-12 0.234650E-14
  708 0.399221E-12 0.237314E-14
  710 0.395359E-12 0.263345E-14
  712 0.389950E-12 0.259003E-14
  714 0.384802E-12 0.228420E-14
  716 0.382060E-12 0.221580E-14
  718 0.382140E-12 0.240968E-14
  720 0.383558E-12 0.241915E-14
  722 0.386493E-12 0.221179E-14
  724 0.386678E-12 0.212070E-14
  726 0.384174E-12 0.224762E-14
  728 0.380369E-12 0.230906E-14
  730 0.375187E-12 0.219393E-14
  732 0.370441E-12 0.207690E-14
  734 0.368159E-12 0.208565E-14
  736 0.368987E-12 0.213821E-14
  738 0.370470E-12 0.215000E-14
  740 0.371448E-12 0.213445E-14
  742 0.371164E-12 0.209718E-14
  744 0.368502E-12 0.204154E-14
  746 0.364689E-12 0.203719E-14
  748 0.360707E-12 0.209663E-14
  750 0.358930E-12 0.211394E-14
  752 0.358248E-12 0.201647E-14
  754 0.359559E-12 0.194022E-14
  756 0.360004E-12 0.201890E-14
  758 0.359740E-12 0.213876E-14
  760 0.357923E-12 0.210230E-14
  762 0.353744E-12 0.194018E-14
  764 0.349186E-12 0.191240E-14
  766 0.345809E-12 0.208684E-14
  768 0.344295E-12 0.219863E-14
  770 0.345692E-12 0.208454E-14
  772 0.347701E-12 0.188396E-14
  774 0.349567E-12 0.190930E-14
  776 0.350561E-12 0.213140E-14
  778 0.349404E-12 0.223170E-14
  780 0.345970E-12 0.209045E-14
  782 0.340384E-12 0.189817E-14
  784 0.335907E-12 0.194507E-14
  786 0.332360E-12 0.214360E-14
  788 0.330708E-12 0.220946E-14
  790 0.331259E-12 0.207044E-14
  792 0.332897E-12 0.191803E-14
  794 0.334985E-12 0.197088E-14
  796 0.336098E-12 0.212948E-14
  798 0.334819E-12 0.215905E-14
  800 0.332135E-12 0.202422E-14
  802 0.327738E-12 0.189458E-14
  804 0.322826E-12 0.194488E-14
  806 0.319323E-12 0.209171E-14
  808 0.316734E-12 0.213273E-14
  810 0.315499E-12 0.202588E-14
  812 0.315597E-12 0.190822E-14
  814 0.315158E-12 0.192308E-14
  816 0.316096E-12 0.204258E-14
  818 0.315383E-12 0.209345E-14
  820 0.314256E-12 0.202563E-14
  822 0.311553E-12 0.192125E-14
  824 0.308593E-12 0.191818E-14
  826 0.306530E-12 0.201766E-14
  828 0.304866E-12 0.208887E-14
  830 0.303691E-12 0.205383E-14
  832 0.303269E-12 0.196202E-14
  834 0.302386E-12 0.192244E-14
  836 0.301460E-12 0.198408E-14
  838 0.300728E-12 0.207196E-14
  840 0.297898E-12 0.208272E-14
  842 0.294569E-12 0.202471E-14
  844 0.289130E-12 0.196168E-14
  846 0.285755E-12 0.198493E-14
  848 0.282650E-12 0.205449E-14
  850 0.280510E-12 0.209772E-14
  852 0.278448E-12 0.207456E-14
  854 0.278020E-12 0.203698E-14
  856 0.278295E-12 0.204157E-14
  858 0.279383E-12 0.209939E-14
  860 0.279709E-12 0.214811E-14
  862 0.279334E-12 0.214463E-14
  864 0.278986E-12 0.210973E-14
  866 0.278186E-12 0.209904E-14
  868 0.278831E-12 0.216254E-14
  870 0.276335E-12 0.222803E-14
  872 0.276620E-12 0.227334E-14
  874 0.276099E-12 0.224216E-14
  876 0.276657E-12 0.219251E-14
  878 0.277595E-12 0.219498E-14
  880 0.280064E-12 0.228765E-14
  882 0.280474E-12 0.238727E-14
  884 0.280100E-12 0.242628E-14
  886 0.278486E-12 0.237514E-14
  888 0.276488E-12 0.229311E-14
  890 0.274374E-12 0.227608E-14
  892 0.271406E-12 0.236264E-14
  894 0.268317E-12 0.249866E-14
  896 0.266893E-12 0.259807E-14
  898 0.264951E-12 0.258349E-14
  900 0.264423E-12 0.250147E-14
  902 0.264551E-12 0.244089E-14
  904 0.264160E-12 0.248010E-14
  906 0.263653E-12 0.261437E-14
  908 0.264409E-12 0.276415E-14
  910 0.262909E-12 0.280633E-14
  912 0.261197E-12 0.274566E-14
  914 0.259510E-12 0.265014E-14
  916 0.257641E-12 0.262461E-14
  918 0.253741E-12 0.270614E-14
  920 0.251337E-12 0.287407E-14
  922 0.251113E-12 0.302558E-14
  924 0.248981E-12 0.303455E-14
  926 0.247651E-12 0.293897E-14
  928 0.248745E-12 0.284570E-14
  930 0.248493E-12 0.282857E-14
  932 0.248043E-12 0.294887E-14
  934 0.248281E-12 0.314793E-14
  936 0.247921E-12 0.329511E-14
  938 0.247325E-12 0.332199E-14
  940 0.244855E-12 0.321630E-14
  942 0.241980E-12 0.308916E-14
  944 0.241751E-12 0.310082E-14
  946 0.237945E-12 0.322239E-14
  948 0.235420E-12 0.343950E-14
  950 0.235992E-12 0.364908E-14
  952 0.233802E-12 0.366840E-14
  954 0.233620E-12 0.356615E-14
  956 0.235698E-12 0.343680E-14
  958 0.236233E-12 0.337440E-14
  960 0.237364E-12 0.351326E-14
  962 0.238170E-12 0.379680E-14
  964 0.238983E-12 0.408648E-14
  966 0.236437E-12 0.419231E-14
  968 0.234768E-12 0.413782E-14
  970 0.232979E-12 0.396163E-14
  972 0.227139E-12 0.375481E-14
  974 0.224660E-12 0.382282E-14
  976 0.220615E-12 0.412831E-14
  978 0.214911E-12 0.451066E-14
  980 0.214495E-12 0.490261E-14
  982 0.210397E-12 0.496058E-14
  984 0.210329E-12 0.483050E-14
  986 0.210641E-12 0.453892E-14
  988 0.209739E-12 0.430585E-14
  990 0.213813E-12 0.453211E-14
  992 0.213659E-12 0.507145E-14
  994 0.216386E-12 0.586314E-14
  996 0.217980E-12 0.654007E-14
  998 0.216282E-12 0.683078E-14
 1000 0.215377E-12 0.678885E-14
 1002 0.212089E-12 0.642101E-14
 1004 0.206399E-12 0.608713E-14
 1006 0.202733E-12 0.646876E-14
 1008 0.195323E-12 0.764040E-14
 1010 0.190823E-12 0.948108E-14
 1012 0.188432E-12 0.114113E-13
 1014 0.184646E-12 0.126626E-13
 1016 0.188521E-12 0.134443E-13
 1018 0.189451E-12 0.129035E-13
 1020 0.198576E-12 0.121826E-13
