# Model SED for star alfCenA                         
# Spectral template: G2V_18Sco_GaiaDR3_spec.dat      
# Adjusted Vmag(template)= 5.500 to Vmag(target)= 0.010
 # lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  660 0.304363E-10 0.522235E-12
  662 0.307922E-10 0.489436E-12
  664 0.310778E-10 0.478488E-12
  666 0.311385E-10 0.462548E-12
  668 0.310373E-10 0.431206E-12
  670 0.308598E-10 0.418121E-12
  672 0.306386E-10 0.421467E-12
  674 0.304347E-10 0.402454E-12
  676 0.303805E-10 0.371298E-12
  678 0.303269E-10 0.365818E-12
  680 0.302739E-10 0.369700E-12
  682 0.302119E-10 0.348825E-12
  684 0.300863E-10 0.325224E-12
  686 0.299247E-10 0.329607E-12
  688 0.297691E-10 0.331735E-12
  690 0.296033E-10 0.307396E-12
  692 0.293805E-10 0.287869E-12
  694 0.292222E-10 0.295642E-12
  696 0.290123E-10 0.295158E-12
  698 0.287848E-10 0.271672E-12
  700 0.285330E-10 0.257434E-12
  702 0.283802E-10 0.266618E-12
  704 0.281895E-10 0.265355E-12
  706 0.280471E-10 0.245016E-12
  708 0.279794E-10 0.234699E-12
  710 0.278612E-10 0.242863E-12
  712 0.277270E-10 0.242724E-12
  714 0.275878E-10 0.226149E-12
  716 0.274763E-10 0.215423E-12
  718 0.273693E-10 0.220200E-12
  720 0.272093E-10 0.221396E-12
  722 0.271327E-10 0.211486E-12
  724 0.269688E-10 0.202118E-12
  726 0.267902E-10 0.202603E-12
  728 0.266652E-10 0.204342E-12
  730 0.264841E-10 0.198886E-12
  732 0.262505E-10 0.190075E-12
  734 0.260334E-10 0.184312E-12
  736 0.258896E-10 0.182910E-12
  738 0.257333E-10 0.183203E-12
  740 0.255984E-10 0.181928E-12
  742 0.255167E-10 0.176687E-12
  744 0.254271E-10 0.170943E-12
  746 0.253590E-10 0.172311E-12
  748 0.252854E-10 0.177686E-12
  750 0.252877E-10 0.176297E-12
  752 0.252556E-10 0.166517E-12
  754 0.252845E-10 0.163934E-12
  756 0.252481E-10 0.174700E-12
  758 0.252311E-10 0.182461E-12
  760 0.252062E-10 0.172632E-12
  762 0.250867E-10 0.154923E-12
  764 0.249333E-10 0.156364E-12
  766 0.247646E-10 0.175764E-12
  768 0.245681E-10 0.184044E-12
  770 0.244199E-10 0.169463E-12
  772 0.242252E-10 0.149975E-12
  774 0.240420E-10 0.156350E-12
  776 0.239260E-10 0.179403E-12
  778 0.238511E-10 0.187040E-12
  780 0.238027E-10 0.170332E-12
  782 0.237164E-10 0.149690E-12
  784 0.237067E-10 0.154808E-12
  786 0.236527E-10 0.175417E-12
  788 0.235550E-10 0.182427E-12
  790 0.234356E-10 0.168512E-12
  792 0.232796E-10 0.150916E-12
  794 0.231434E-10 0.152072E-12
  796 0.230266E-10 0.165436E-12
  798 0.228949E-10 0.169086E-12
  800 0.228236E-10 0.158187E-12
  802 0.227459E-10 0.146377E-12
  804 0.226635E-10 0.149556E-12
  806 0.226264E-10 0.162258E-12
  808 0.225383E-10 0.167713E-12
  810 0.224111E-10 0.161357E-12
  812 0.222689E-10 0.152168E-12
  814 0.220376E-10 0.150187E-12
  816 0.219180E-10 0.155251E-12
  818 0.217521E-10 0.157157E-12
  820 0.216508E-10 0.154040E-12
  822 0.215249E-10 0.151663E-12
  824 0.214290E-10 0.156094E-12
  826 0.213940E-10 0.163596E-12
  828 0.213414E-10 0.165902E-12
  830 0.212521E-10 0.161816E-12
  832 0.211464E-10 0.158750E-12
  834 0.209653E-10 0.163195E-12
  836 0.207776E-10 0.172533E-12
  838 0.206387E-10 0.178281E-12
  840 0.204186E-10 0.175360E-12
  842 0.202349E-10 0.169928E-12
  844 0.199629E-10 0.170093E-12
  846 0.198603E-10 0.179985E-12
  848 0.197678E-10 0.190372E-12
  850 0.197016E-10 0.193625E-12
  852 0.195810E-10 0.189182E-12
  854 0.195150E-10 0.185950E-12
  856 0.194546E-10 0.190828E-12
  858 0.194341E-10 0.202289E-12
  860 0.193724E-10 0.211064E-12
  862 0.192965E-10 0.211995E-12
  864 0.192664E-10 0.208185E-12
  866 0.192451E-10 0.207160E-12
  868 0.193487E-10 0.215523E-12
  870 0.192368E-10 0.226038E-12
  872 0.192994E-10 0.235215E-12
  874 0.192729E-10 0.235824E-12
  876 0.192858E-10 0.232418E-12
  878 0.192979E-10 0.231888E-12
  880 0.194066E-10 0.240021E-12
  882 0.193834E-10 0.250990E-12
  884 0.193357E-10 0.259010E-12
  886 0.192423E-10 0.259740E-12
  888 0.191620E-10 0.256168E-12
  890 0.191022E-10 0.254875E-12
  892 0.189920E-10 0.259766E-12
  894 0.188587E-10 0.269479E-12
  896 0.188070E-10 0.279262E-12
  898 0.186698E-10 0.281919E-12
  900 0.185798E-10 0.279994E-12
  902 0.184919E-10 0.278151E-12
  904 0.183423E-10 0.281014E-12
  906 0.181830E-10 0.289846E-12
  908 0.181326E-10 0.301557E-12
  910 0.179681E-10 0.306725E-12
  912 0.178409E-10 0.306011E-12
  914 0.177669E-10 0.303147E-12
  916 0.177224E-10 0.303836E-12
  918 0.175614E-10 0.309153E-12
  920 0.175047E-10 0.320575E-12
  922 0.175803E-10 0.332801E-12
  924 0.174858E-10 0.335591E-12
  926 0.174021E-10 0.332620E-12
  928 0.174452E-10 0.331170E-12
  930 0.173611E-10 0.332693E-12
  932 0.172481E-10 0.341348E-12
  934 0.171876E-10 0.354970E-12
  936 0.171087E-10 0.365588E-12
  938 0.170498E-10 0.369638E-12
  940 0.169039E-10 0.365569E-12
  942 0.167688E-10 0.361114E-12
  944 0.168456E-10 0.367300E-12
  946 0.166839E-10 0.376688E-12
  948 0.166017E-10 0.391874E-12
  950 0.167094E-10 0.408352E-12
  952 0.165789E-10 0.410626E-12
  954 0.165414E-10 0.407229E-12
  956 0.166172E-10 0.404850E-12
  958 0.165492E-10 0.405715E-12
  960 0.165064E-10 0.418645E-12
  962 0.164455E-10 0.439391E-12
  964 0.164104E-10 0.460539E-12
