# Model SED for star 70 Oph B = GJ 702B = HD 165341 B
# Spectral template: K4V_HD160964_GaiaDR3_spec.dat
# Adjusted Vmag(template)=8.564 to Vmag(target)=6.066
# lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  658 0.159117E-12 0.171674E-14
  660 0.159905E-12 0.160969E-14
  662 0.161903E-12 0.156920E-14
  664 0.163726E-12 0.156752E-14
  666 0.164015E-12 0.149347E-14
  668 0.162858E-12 0.142398E-14
  670 0.160931E-12 0.144202E-14
  672 0.158908E-12 0.142384E-14
  674 0.157517E-12 0.132515E-14
  676 0.157483E-12 0.130196E-14
  678 0.157710E-12 0.135251E-14
  680 0.157744E-12 0.131328E-14
  682 0.157243E-12 0.121813E-14
  684 0.155960E-12 0.123416E-14
  686 0.154360E-12 0.128848E-14
  688 0.153079E-12 0.123283E-14
  690 0.152343E-12 0.115835E-14
  692 0.151995E-12 0.119392E-14
  694 0.152541E-12 0.122268E-14
  696 0.153145E-12 0.114519E-14
  698 0.153720E-12 0.109424E-14
  700 0.153991E-12 0.114770E-14
  702 0.154425E-12 0.116166E-14
  704 0.154146E-12 0.107930E-14
  706 0.153579E-12 0.104745E-14
  708 0.152951E-12 0.110536E-14
  710 0.151793E-12 0.110647E-14
  712 0.150593E-12 0.103926E-14
  714 0.149700E-12 0.103902E-14
  716 0.149464E-12 0.109862E-14
  718 0.149757E-12 0.107974E-14
  720 0.150091E-12 0.998002E-15
  722 0.150962E-12 0.100895E-14
  724 0.151191E-12 0.108151E-14
  726 0.151049E-12 0.106184E-14
  728 0.150919E-12 0.960393E-15
  730 0.150259E-12 0.938428E-15
  732 0.149193E-12 0.101125E-14
  734 0.148186E-12 0.101812E-14
  736 0.147601E-12 0.931124E-15
  738 0.146969E-12 0.889972E-15
  740 0.146513E-12 0.952428E-15
  742 0.146462E-12 0.979156E-15
  744 0.146501E-12 0.905500E-15
  746 0.146784E-12 0.853492E-15
  748 0.147061E-12 0.920644E-15
  750 0.147645E-12 0.987844E-15
  752 0.147728E-12 0.941319E-15
  754 0.147778E-12 0.856830E-15
  756 0.147112E-12 0.879640E-15
  758 0.146438E-12 0.971076E-15
  760 0.145906E-12 0.981533E-15
  762 0.145313E-12 0.894808E-15
  764 0.145175E-12 0.848974E-15
