Design Name,SHERA 550-60nmNotch filter Rev-B14,
Center Wavelength (nm),580,
Incident Angle (deg),0,
Wavelength (nm),R (%),T (%)
870,0.709893,99.290107
872,0.689749,99.310251
874,0.664396,99.335604
876,0.635339,99.364661
878,0.604353,99.395647
880,0.57337,99.42663
882,0.54435,99.45565
884,0.519162,99.480838
886,0.499465,99.500535
888,0.486607,99.513393
890,0.481541,99.518459
892,0.484771,99.515229
894,0.496324,99.503676
896,0.515768,99.484232
898,0.54217,99.45783
900,0.574235,99.425765
902,0.610359,99.389641
904,0.648713,99.351287
906,0.687344,99.312656
908,0.724281,99.275719
910,0.757639,99.242361
912,0.785711,99.214289
914,0.807054,99.192946
916,0.820555,99.179445
918,0.825481,99.174519
920,0.821507,99.178493
922,0.808728,99.191272
924,0.787645,99.212355
926,0.759135,99.240865
928,0.724406,99.275594
930,0.684937,99.315063
932,0.642405,99.357595
934,0.598604,99.401396
936,0.555363,99.444637
938,0.514461,99.485539
940,0.477551,99.522449
942,0.446083,99.553917
944,0.421244,99.578756
946,0.403914,99.596086
948,0.394625,99.605375
950,0.393553,99.606447
952,0.400514,99.599486
954,0.414982,99.585018
956,0.436121,99.563879
958,0.462828,99.537172
960,0.493789,99.506211
962,0.52754,99.47246
964,0.562533,99.437467
966,0.597204,99.402796
968,0.630034,99.369966
970,0.659614,99.340386
972,0.684697,99.315303
974,0.704241,99.295759
976,0.717447,99.282553
978,0.723782,99.276218
980,0.722993,99.277007
982,0.715108,99.284892
984,0.700429,99.299571
986,0.679512,99.320488
988,0.653142,99.346858
990,0.622294,99.377706
992,0.588093,99.411907
994,0.55177,99.44823
996,0.514609,99.485391
998,0.477898,99.522102
1000,0.442883,99.557117
1002,0.412118,99.587882
1004,0.384919,99.615081
1006,0.362088,99.637912
1008,0.344253,99.655747
1010,0.331846,99.668154
1012,0.325091,99.674909
1014,0.323999,99.676001
1016,0.328371,99.671629
1018,0.337811,99.662189
1020,0.351743,99.648257
1022,0.369435,99.630565
1024,0.390027,99.609973
1026,0.412564,99.587436
1028,0.436032,99.563968
1030,0.459397,99.540603
1032,0.481636,99.518364
1034,0.501781,99.498219
1036,0.518943,99.481057
1038,0.532352,99.467648
1040,0.541375,99.458625
1042,0.545542,99.454458
1044,0.544564,99.455436
1046,0.538338,99.461662
1048,0.526957,99.473043
1050,0.510706,99.489294
1052,0.490056,99.509944
1054,0.465655,99.534345
1056,0.438305,99.561695
1058,0.408944,99.591056
1060,0.378619,99.621381
1062,0.348444,99.651556
1064,0.319601,99.680399
1066,0.293274,99.706726
1068,0.270622,99.729378
1070,0.252748,99.747252
1072,0.240663,99.759337
1074,0.235256,99.764744
1076,0.237266,99.762734
1078,0.247258,99.752742
1080,0.265607,99.734393
1082,0.292484,99.707516
1084,0.327843,99.672157
1086,0.371432,99.628568
1088,0.422809,99.577191
1090,0.481336,99.518664
1092,0.546211,99.453789
1094,0.616485,99.383515
1096,0.691102,99.308898
1098,0.768928,99.231072
1100,0.848793,99.151207
