Design Name,SHERA 550-73nmNotch filter Rev-A,,,,,
Center Wavelength (nm),570nm,,,,,
Incident Angle (deg),0,,,,,
Wavelength (nm),R (%),T (%),,,,
738,2.654477,97.345523,,,,
740,2.407899,97.592101,,,,
742,2.079889,97.920111,,,,
744,1.701315,98.298685,,,,
746,1.307128,98.692872,,,,
748,0.933175,99.066825,,,,
750,0.612824,99.387176,,,,
752,0.373753,99.626247,,,,
754,0.235301,99.764699,,,,
756,0.206736,99.793264,,,,
758,0.286698,99.713302,,,,
760,0.463859,99.536141,,,,
762,0.718641,99.281359,,,,
764,1.02568,98.97432,,,,
766,1.356632,98.643368,,,,
768,1.682941,98.317059,,,,
770,1.978266,98.021734,,,,
772,2.22039,97.77961,,,,
774,2.392532,97.607468,,,,
776,2.48408,97.51592,,,,
778,2.490811,97.509189,,,,
780,2.414675,97.585325,,,,
782,2.26321,97.73679,,,,
784,2.04868,97.95132,,,,
786,1.786963,98.213037,,,,
788,1.496277,98.503723,,,,
790,1.195793,98.804207,,,,
792,0.904222,99.095778,,,,
794,0.638491,99.361509,,,,
796,0.412594,99.587406,,,,
798,0.236725,99.763275,,,,
800,0.116781,99.883219,,,,
802,0.054248,99.945752,,,,
804,0.046484,99.953516,,,,
806,0.087328,99.912672,,,,
808,0.167956,99.832044,,,,
810,0.277873,99.722127,,,,
812,0.405925,99.594075,,,,
814,0.541248,99.458752,,,,
816,0.674067,99.325933,,,,
818,0.796306,99.203694,,,,
820,0.901986,99.098014,,,,
822,0.987409,99.012591,,,,
824,1.05115,98.94885,,,,
826,1.093869,98.906131,,,,
828,1.117992,98.882008,,,,
830,1.127281,98.872719,,,,
832,1.12635,98.87365,,,,
834,1.120145,98.879855,,,,
836,1.113443,98.886557,,,,
838,1.1104,98.8896,,,,
840,1.114184,98.885816,,,,
842,1.126709,98.873291,,,,
844,1.148498,98.851502,,,,
846,1.178668,98.821332,,,,
848,1.215043,98.784957,,,,
850,1.254364,98.745636,,,,
852,1.292593,98.707407,,,,
854,1.325079,98.674921,,,,
856,1.347492,98.652508,,,,
858,1.355653,98.644347,,,,
860,1.346025,98.653975,,,,
862,1.316009,98.683991,,,,
864,1.264167,98.735833,,,,
866,1.190371,98.809629,,,,
868,1.095868,98.904132,,,,
870,0.983266,99.016734,,,,
872,0.856436,99.143564,,,,
874,0.72034,99.27966,,,,
876,0.580788,99.419212,,,,
878,0.444145,99.555855,,,,
880,0.316995,99.683005,,,,
882,0.205775,99.794225,,,,
884,0.11642,99.88358,,,,
886,0.054021,99.945979,,,,
888,0.022526,99.977474,,,,
890,0.024505,99.975495,,,,
892,0.060994,99.939006,,,,
894,0.131428,99.868572,,,,
896,0.233632,99.766368,,,,
898,0.364003,99.635997,,,,
900,0.517669,99.482331,,,,
902,0.68873,99.31127,,,,
904,0.87056,99.12944,,,,
906,1.05612,98.94388,,,,
908,1.238284,98.761716,,,,
910,1.410144,98.589856,,,,
912,1.565288,98.434712,,,,
914,1.698048,98.301952,,,,
916,1.803691,98.196309,,,,
918,1.878577,98.121423,,,,
920,1.920261,98.079739,,,,
922,1.927545,98.072455,,,,
924,1.900495,98.099505,,,,
926,1.840406,98.159594,,,,
928,1.749734,98.250266,,,,
930,1.631988,98.368012,,,,
932,1.491592,98.508408,,,,
934,1.333713,98.666287,,,,
936,1.164072,98.835928,,,,
938,0.988725,99.011275,,,,
940,0.813844,99.186156,,,,
942,0.645479,99.354521,,,,
944,0.489339,99.510661,,,,
946,0.350575,99.649425,,,,
948,0.233594,99.766406,,,,
950,0.141899,99.858101,,,,
952,0.077978,99.922022,,,,
954,0.043227,99.956773,,,,
956,0.037934,99.962066,,,,
958,0.061301,99.938699,,,,
960,0.111519,99.888481,,,,
962,0.185881,99.814119,,,,
964,0.280922,99.719078,,,,
966,0.392593,99.607407,,,,
968,0.516438,99.483562,,,,
970,0.647783,99.352217,,,,
972,0.781915,99.218085,,,,
974,0.914256,99.085744,,,,
976,1.040511,98.959489,,,,
978,1.156804,98.843196,,,,
980,1.259781,98.740219,,,,
982,1.346692,98.653308,,,,
984,1.415449,98.584551,,,,
986,1.464654,98.535346,,,,
988,1.493607,98.506393,,,,
990,1.50229,98.49771,,,,
992,1.491336,98.508664,,,,
994,1.461973,98.538027,,,,
996,1.415956,98.584044,,,,
998,1.355489,98.644511,,,,
1000,1.28313,98.71687,,,,
1002,1.204381,98.795619,,,,
1004,1.119491,98.880509,,,,
1006,1.031307,98.968693,,,,
1008,0.942632,99.057368,,,,
1010,0.856138,99.143862,,,,
1012,0.774278,99.225722,,,,
1014,0.699215,99.300785,,,,
1016,0.632792,99.367208,,,,
1018,0.576362,99.423638,,,,
1020,0.530887,99.469113,,,,
1022,0.496875,99.503125,,,,
1024,0.474382,99.525618,,,,
1026,0.463028,99.536972,,,,
1028,0.462027,99.537973,,,,
1030,0.470235,99.529765,,,,
1032,0.486206,99.513794,,,,
1034,0.508255,99.491745,,,,
1036,0.534532,99.465468,,,,
1038,0.563094,99.436906,,,,
1040,0.591981,99.408019,,,,
1042,0.619287,99.380713,,,,
1044,0.643227,99.356773,,,,
1046,0.662205,99.337795,,,,
1048,0.674861,99.325139,,,,
1050,0.680117,99.319883,,,,
1052,0.677217,99.322783,,,,
1054,0.665749,99.334251,,,,
1056,0.645658,99.354342,,,,
1058,0.61725,99.38275,,,,
1060,0.581188,99.418812,,,,
1062,0.538462,99.461538,,,,
1064,0.490388,99.509612,,,,
1066,0.438544,99.561456,,,,
1068,0.384735,99.615265,,,,
1070,0.330938,99.669062,,,,
1072,0.279245,99.720755,,,,
1074,0.231797,99.768203,,,,
1076,0.190721,99.809279,,,,
1078,0.158057,99.841943,,,,
1080,0.135695,99.864305,,,,
1082,0.125309,99.874691,,,,
1084,0.128293,99.871707,,,,
1086,0.145715,99.854285,,,,
1088,0.178276,99.821724,,,,
1090,0.226271,99.773729,,,,
1092,0.289575,99.710425,,,,
1094,0.367626,99.632374,,,,
1096,0.459434,99.540566,,,,
1098,0.563596,99.436404,,,,
1100,0.678321,99.321679,,,,
