target,config_path,shard_manifest_path,n_draws,windows_per_draw,subblocks_per_window,expected_subblocks_per_draw,projected_windows,high_order_wfe_truth_enabled,high_order_wfe_ke_enabled,detector_ke_enabled,prior_sigma_separation_as,prior_sigma_log_flux,prior_sigma_contrast_fractional,prior_sigma_plate_scale_fractional,prior_sigma_primary_zernike_nm,prior_sigma_secondary_zernike_nm,recommended_time,recommended_mem,recommended_max_workers,expected_result_root
ALPHA_CEN,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_ALPHA_CEN_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/ALPHA_CEN/shard_manifest.csv,10,10,30,300,60,true,false,false,0.0001,0.0001,0.0001,0.0001,1.0,1.0,5-00:00:00,250G,10,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign
61_CYG,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/shard_manifest.csv,10,10,30,300,60,true,false,false,0.0001,0.0001,0.0001,0.0001,1.0,1.0,5-00:00:00,250G,10,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign
70_OPH,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_70_OPH_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/70_OPH/shard_manifest.csv,10,10,30,300,60,true,false,false,0.0001,0.0001,0.0001,0.0001,1.0,1.0,5-00:00:00,250G,10,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign
36_OPH,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_36_OPH_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/36_OPH/shard_manifest.csv,10,10,30,300,60,true,false,false,0.0001,0.0001,0.0001,0.0001,1.0,1.0,5-00:00:00,250G,10,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign
XI_BOO,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_XI_BOO_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/XI_BOO/shard_manifest.csv,10,10,30,300,60,true,false,false,0.0001,0.0001,0.0001,0.0001,1.0,1.0,5-00:00:00,250G,10,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign
P_ERI,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_P_ERI_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/P_ERI/shard_manifest.csv,10,10,30,300,60,true,false,false,0.0001,0.0001,0.0001,0.0001,1.0,1.0,5-00:00:00,250G,10,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign
HR_2667_2668,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_HR_2667_2668_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/HR_2667_2668/shard_manifest.csv,10,10,30,300,60,true,false,false,0.0001,0.0001,0.0001,0.0001,1.0,1.0,5-00:00:00,250G,10,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign
